B_cell,AML,AML,T_cell,AML,B_cell,B_cell,B_cell,AML,B_cell,B_cell,AML,B_cell,B_cell,B_cell,B_cell,B_cell,AML,T_cell,AML,T_cell,B_cell,AML,B_cell,AML,B_cell,AML,T_cell,AML,AML,AML,B_cell,B_cell,B_cell,B_cell,B_cell,AML,B_cell,AML,B_cell,B_cell,B_cell,B_cell,B_cell,B_cell,B_cell,AML,AML,B_cell,T_cell,T_cell,B_cell,AML,B_cell,B_cell,B_cell,AML,AML,B_cell,B_cell,T_cell,B_cell,B_cell,AML,AML,AML,AML,T_cell,T_cell,AML,B_cell,B_cell
5905.0,20836.0,20230.0,16756.0,15696.0,-74.0,14110.0,13007.0,17621.0,10127.0,9582.0,18761.0,11439.0,15030.0,4175.0,10207.0,11270.0,14764.0,13624.0,9615.0,24420.0,15970.0,13861.0,11126.0,15033.0,19406.0,9718.0,15546.0,11709.0,14968.0,15692.0,15601.0,13017.0,5199.0,21334.0,13011.0,12086.0,10592.0,12453.0,14799.0,10675.0,8380.0,14427.0,14345.0,7956.0,12353.0,14969.0,17479.0,13884.0,13568.0,19434.0,7327.0,14007.0,12125.0,16066.0,8189.0,14266.0,7103.0,10630.0,17294.0,11676.0,14131.0,16429.0,13617.0,5408.0,15041.0,14230.0,18782.0,17041.0,15646.0,20863.0,10299.0
6595.0,-104.0,269.0,3925.0,2229.0,6106.0,1787.0,8390.0,-833.0,2079.0,4660.0,1657.0,-300.0,197.0,1095.0,3226.0,-394.0,895.0,20520.0,2621.0,586.0,13928.0,269.0,1158.0,-459.0,1101.0,2791.0,582.0,1090.0,-309.0,-128.0,1839.0,1571.0,7.0,214.0,2374.0,5202.0,2617.0,1645.0,1087.0,700.0,4546.0,781.0,2188.0,149.0,1105.0,2219.0,3.0,8656.0,15997.0,4037.0,-134.0,-881.0,465.0,6482.0,1947.0,-102.0,3986.0,2286.0,151.0,13330.0,4812.0,-112.0,5619.0,845.0,2215.0,-820.0,865.0,700.0,1967.0,4666.0,-191.0
3302.0,6201.0,1096.0,3387.0,2318.0,3173.0,4968.0,3974.0,13963.0,2077.0,2422.0,591.0,1646.0,2189.0,2193.0,461.0,8670.0,4105.0,13545.0,4924.0,2951.0,5221.0,2537.0,2654.0,16171.0,3781.0,4793.0,5145.0,8030.0,12218.0,11562.0,3772.0,2102.0,4272.0,3251.0,1878.0,6749.0,5593.0,13057.0,3457.0,3904.0,4124.0,1275.0,4866.0,1748.0,1382.0,4367.0,8213.0,6157.0,6765.0,2505.0,1128.0,9830.0,1885.0,4646.0,4953.0,7451.0,1226.0,3709.0,1623.0,2466.0,1712.0,1891.0,14471.0,894.0,13317.0,12449.0,2334.0,3947.0,3250.0,4207.0,1876.0
1671.0,74.0,51.0,2783.0,-218.0,1830.0,6270.0,1234.0,455.0,6603.0,7369.0,445.0,1544.0,1896.0,4066.0,4614.0,219.0,221.0,-28.0,249.0,2372.0,2790.0,454.0,3282.0,166.0,5433.0,-53.0,1391.0,106.0,-170.0,1.0,5653.0,6845.0,8700.0,8791.0,1644.0,1284.0,10926.0,-252.0,12307.0,7216.0,5455.0,1595.0,4357.0,4537.0,7480.0,80.0,297.0,4830.0,1627.0,807.0,2495.0,120.0,613.0,7540.0,1327.0,123.0,2.0,9811.0,1487.0,257.0,7686.0,-135.0,58.0,-27.0,297.0,412.0,972.0,780.0,385.0,2433.0,1628.0
9515.0,82.0,241.0,19653.0,138.0,356.0,433.0,7932.0,-204.0,72.0,1094.0,20.0,-190.0,95.0,1289.0,1316.0,-28.0,166.0,2464.0,1653.0,7978.0,2572.0,970.0,723.0,-179.0,210.0,1522.0,16572.0,294.0,-35.0,169.0,33.0,4811.0,137.0,69.0,694.0,6667.0,6259.0,1983.0,47.0,141.0,342.0,47.0,265.0,782.0,-33.0,531.0,113.0,4555.0,9456.0,3894.0,-276.0,45.0,-270.0,134.0,2514.0,812.0,682.0,282.0,-82.0,14079.0,319.0,969.0,-260.0,661.0,-131.0,-154.0,21880.0,6008.0,74.0,612.0,139.0
15229.0,12939.0,7419.0,21798.0,19448.0,20840.0,17499.0,15084.0,17332.0,18928.0,10944.0,25420.0,15790.0,15470.0,17175.0,10723.0,10036.0,16528.0,22852.0,7626.0,29496.0,16072.0,13905.0,14223.0,15140.0,19203.0,23272.0,17827.0,18214.0,18200.0,22296.0,19052.0,19987.0,27495.0,21110.0,24451.0,15939.0,14836.0,11444.0,13661.0,18163.0,14954.0,8483.0,20812.0,10706.0,17305.0,19374.0,10319.0,17351.0,17650.0,21444.0,12987.0,15761.0,18805.0,23712.0,17962.0,18943.0,13424.0,18530.0,16383.0,14919.0,14423.0,23352.0,17207.0,8523.0,14387.0,16802.0,21874.0,17789.0,14026.0,25622.0,18546.0
-139.0,10171.0,9986.0,-109.0,22222.0,-64.0,333.0,1441.0,2005.0,1293.0,706.0,27285.0,-62.0,938.0,-257.0,-49.0,51.0,28390.0,-113.0,228.0,88.0,135.0,6960.0,56.0,5702.0,-30.0,2606.0,-35.0,5895.0,17371.0,747.0,87.0,3562.0,490.0,-60.0,917.0,209.0,379.0,429.0,-146.0,199.0,196.0,2269.0,989.0,296.0,2681.0,14230.0,2204.0,777.0,-29.0,-36.0,-93.0,9138.0,-78.0,1213.0,311.0,9006.0,15791.0,22.0,18.0,93.0,478.0,184.0,8072.0,3917.0,1003.0,353.0,392.0,16.0,11205.0,1452.0,59.0
176.0,-16.0,78.0,182.0,56.0,53.0,117.0,99.0,125.0,123.0,-113.0,49.0,11.0,89.0,202.0,137.0,75.0,134.0,10145.0,210.0,94.0,121.0,39.0,272.0,173.0,154.0,203.0,8426.0,-19.0,133.0,76.0,56.0,45.0,125.0,57.0,-37.0,165.0,184.0,87.0,-63.0,79.0,84.0,84.0,58.0,123.0,71.0,123.0,11.0,591.0,11799.0,93.0,195.0,72.0,-20.0,-7.0,206.0,135.0,-79.0,61.0,76.0,8582.0,172.0,982.0,169.0,422.0,62.0,55.0,269.0,103.0,-27.0,24.0,51.0
1695.0,880.0,1727.0,3569.0,1426.0,156.0,1159.0,15848.0,2491.0,940.0,6089.0,234.0,466.0,523.0,1964.0,267.0,-49.0,186.0,2662.0,245.0,1322.0,1089.0,1916.0,670.0,700.0,-12.0,4355.0,3371.0,5138.0,3399.0,1896.0,601.0,990.0,-84.0,158.0,-4.0,6663.0,660.0,291.0,-87.0,548.0,1496.0,299.0,262.0,1040.0,472.0,1177.0,1240.0,3199.0,8521.0,117.0,320.0,91.0,848.0,644.0,874.0,2276.0,1644.0,195.0,40.0,2823.0,441.0,409.0,589.0,1303.0,423.0,551.0,1308.0,738.0,595.0,1465.0,268.0
2179.0,313.0,74.0,-79.0,9877.0,-154.0,-190.0,-6.0,1563.0,-514.0,50.0,34591.0,-300.0,-157.0,-272.0,-70.0,-129.0,-201.0,24.0,58.0,-202.0,-219.0,760.0,-272.0,-360.0,1290.0,-97.0,-130.0,-398.0,-5.0,1260.0,8615.0,-264.0,453.0,1403.0,3409.0,-154.0,-256.0,-265.0,199.0,-183.0,68.0,25374.0,6365.0,25276.0,51900.0,0.0,996.0,3376.0,-194.0,-138.0,-438.0,-61.0,-253.0,49432.0,746.0,566.0,-194.0,-106.0,5483.0,-169.0,-202.0,-143.0,4476.0,252.0,-103.0,109.0,352.0,-184.0,53.0,349.0,-32.0
