B_cell,AML,AML,T_cell,AML,B_cell,B_cell,B_cell,AML,B_cell,B_cell,AML,B_cell,B_cell,B_cell,B_cell,B_cell,AML,T_cell,AML,T_cell,B_cell,AML,B_cell,AML,B_cell,AML,T_cell,AML,AML,AML,B_cell,B_cell,B_cell,B_cell,B_cell
5905.0,20836.0,20230.0,16756.0,15696.0,-74.0,14110.0,13007.0,17621.0,10127.0,9582.0,18761.0,11439.0,15030.0,4175.0,10207.0,11270.0,14764.0,13624.0,9615.0,24420.0,15970.0,13861.0,11126.0,15033.0,19406.0,9718.0,15546.0,11709.0,14968.0,15692.0,15601.0,13017.0,5199.0,21334.0,13011.0
6595.0,-104.0,269.0,3925.0,2229.0,6106.0,1787.0,8390.0,-833.0,2079.0,4660.0,1657.0,-300.0,197.0,1095.0,3226.0,-394.0,895.0,20520.0,2621.0,586.0,13928.0,269.0,1158.0,-459.0,1101.0,2791.0,582.0,1090.0,-309.0,-128.0,1839.0,1571.0,7.0,214.0,2374.0
3302.0,6201.0,1096.0,3387.0,2318.0,3173.0,4968.0,3974.0,13963.0,2077.0,2422.0,591.0,1646.0,2189.0,2193.0,461.0,8670.0,4105.0,13545.0,4924.0,2951.0,5221.0,2537.0,2654.0,16171.0,3781.0,4793.0,5145.0,8030.0,12218.0,11562.0,3772.0,2102.0,4272.0,3251.0,1878.0
1671.0,74.0,51.0,2783.0,-218.0,1830.0,6270.0,1234.0,455.0,6603.0,7369.0,445.0,1544.0,1896.0,4066.0,4614.0,219.0,221.0,-28.0,249.0,2372.0,2790.0,454.0,3282.0,166.0,5433.0,-53.0,1391.0,106.0,-170.0,1.0,5653.0,6845.0,8700.0,8791.0,1644.0
9515.0,82.0,241.0,19653.0,138.0,356.0,433.0,7932.0,-204.0,72.0,1094.0,20.0,-190.0,95.0,1289.0,1316.0,-28.0,166.0,2464.0,1653.0,7978.0,2572.0,970.0,723.0,-179.0,210.0,1522.0,16572.0,294.0,-35.0,169.0,33.0,4811.0,137.0,69.0,694.0
15229.0,12939.0,7419.0,21798.0,19448.0,20840.0,17499.0,15084.0,17332.0,18928.0,10944.0,25420.0,15790.0,15470.0,17175.0,10723.0,10036.0,16528.0,22852.0,7626.0,29496.0,16072.0,13905.0,14223.0,15140.0,19203.0,23272.0,17827.0,18214.0,18200.0,22296.0,19052.0,19987.0,27495.0,21110.0,24451.0
-139.0,10171.0,9986.0,-109.0,22222.0,-64.0,333.0,1441.0,2005.0,1293.0,706.0,27285.0,-62.0,938.0,-257.0,-49.0,51.0,28390.0,-113.0,228.0,88.0,135.0,6960.0,56.0,5702.0,-30.0,2606.0,-35.0,5895.0,17371.0,747.0,87.0,3562.0,490.0,-60.0,917.0
176.0,-16.0,78.0,182.0,56.0,53.0,117.0,99.0,125.0,123.0,-113.0,49.0,11.0,89.0,202.0,137.0,75.0,134.0,10145.0,210.0,94.0,121.0,39.0,272.0,173.0,154.0,203.0,8426.0,-19.0,133.0,76.0,56.0,45.0,125.0,57.0,-37.0
1695.0,880.0,1727.0,3569.0,1426.0,156.0,1159.0,15848.0,2491.0,940.0,6089.0,234.0,466.0,523.0,1964.0,267.0,-49.0,186.0,2662.0,245.0,1322.0,1089.0,1916.0,670.0,700.0,-12.0,4355.0,3371.0,5138.0,3399.0,1896.0,601.0,990.0,-84.0,158.0,-4.0
2179.0,313.0,74.0,-79.0,9877.0,-154.0,-190.0,-6.0,1563.0,-514.0,50.0,34591.0,-300.0,-157.0,-272.0,-70.0,-129.0,-201.0,24.0,58.0,-202.0,-219.0,760.0,-272.0,-360.0,1290.0,-97.0,-130.0,-398.0,-5.0,1260.0,8615.0,-264.0,453.0,1403.0,3409.0
