AML,ALL,MLL,MLL,AML,ALL,ALL,MLL,MLL,ALL,MLL,ALL,AML,AML,MLL,MLL,AML,MLL,ALL,AML,MLL,AML,MLL,AML,ALL,ALL,MLL,MLL,ALL,MLL,AML,AML,AML,AML,ALL,ALL
13201.0,8931.0,9226.0,7356.0,25025.0,17219.0,1453.0,14220.0,18102.0,12939.0,22738.0,12334.0,26238.0,25971.0,15616.0,28593.0,18765.0,15859.0,12325.0,29595.0,9186.0,28131.0,14052.0,15404.0,12994.0,12989.0,6182.0,6579.0,4796.7,11206.0,19247.0,14277.0,18552.0,20865.0,13701.0,3998.0
12226.0,16341.0,10259.0,10285.0,1784.0,12130.0,11653.0,6290.0,5468.0,16991.0,2695.0,7633.0,991.0,6033.0,16671.0,2713.0,11281.0,16080.0,20019.0,6796.0,18255.0,10986.0,5932.0,8844.0,10039.0,7878.0,11360.0,16000.0,6396.1,20119.0,3239.0,3638.0,4257.0,11827.0,10410.0,11540.0
-47.0,11523.0,-68.0,-24.0,-57.0,13499.0,1584.0,1346.0,507.0,6844.0,156.0,10364.0,911.0,-86.0,1606.0,-21.0,-157.0,2662.0,11741.0,-125.0,6869.0,181.0,-157.0,-18.0,13125.0,6284.0,4670.0,1943.0,11917.7,-86.0,-152.0,138.0,-52.0,-64.0,7048.0,9378.0
23240.0,20190.0,9758.0,19243.0,4744.0,21021.0,20342.0,9505.0,4430.0,22727.0,9658.0,12843.0,6601.0,23945.0,22108.0,1568.0,405.0,15172.0,22123.0,10834.0,12565.0,26594.0,9664.0,12897.0,12615.0,15514.0,7778.0,9092.0,7685.7,25365.0,18589.0,13352.0,22352.0,20744.0,17134.0,21475.0
8507.0,5520.0,7674.0,7326.0,9216.0,5044.0,6468.0,9137.0,5155.0,6553.0,6632.0,6104.0,10949.0,10602.0,7742.0,3272.0,10542.0,8122.0,7787.0,12705.0,7053.0,10279.0,7239.0,9421.0,4598.0,6462.0,7365.0,9784.0,4691.7,8604.0,9734.0,12175.0,9492.0,11355.0,6886.0,7416.0
190.0,19913.0,345.0,335.0,208.0,5079.0,2640.0,267.0,618.0,1516.0,1334.0,3712.0,524.0,349.0,5278.0,198.0,213.0,904.0,17356.0,368.0,642.0,643.0,533.0,415.0,25188.0,19376.0,1352.0,1773.0,6104.3,85.0,23.0,593.0,240.0,432.0,7677.0,5771.0
574.0,20335.0,4758.0,6890.0,229.0,22632.0,27002.0,19907.0,15347.0,20022.0,12604.0,28168.0,492.0,495.0,15562.0,15737.0,804.0,19978.0,21246.0,219.0,1458.0,5653.0,24837.0,656.0,20775.0,22281.0,18374.0,1228.0,15880.4,750.0,501.0,492.0,253.0,443.0,21399.0,21286.0
1226.0,433.0,857.0,777.0,3644.0,735.0,570.0,2567.0,309.0,653.0,480.0,471.0,4627.0,14539.0,2989.0,683.0,3613.0,480.0,652.0,236.0,11404.0,964.0,1779.0,17918.0,225.0,428.0,1660.0,1260.0,296.3,620.0,25305.0,800.0,685.0,694.0,641.0,611.0
265.0,683.0,560.0,5757.0,1253.0,16.0,169.0,14125.0,13169.0,32.0,7983.0,514.0,3740.0,1624.0,1594.0,2384.0,307.0,3891.0,120.0,1155.0,20338.0,5967.0,2527.0,1385.0,2636.0,2324.0,18725.0,16287.0,2644.2,63.0,1203.0,378.0,126.0,86.0,2677.0,2305.0
644.0,13951.0,3574.0,264.0,9301.0,3517.0,5266.0,-179.0,573.0,18440.0,246.0,14368.0,6168.0,1185.0,5932.0,5140.0,-296.0,1230.0,362.0,219.0,-80.0,-204.0,1221.0,5819.0,1563.0,1370.0,236.0,298.0,12617.9,497.0,5494.0,8651.0,7833.0,424.0,5506.0,1045.0
8538.0,1566.0,1127.0,-412.0,3673.0,-231.0,289.0,519.0,100.0,3048.0,-599.0,673.0,2292.0,17721.0,146.0,293.0,5727.0,1377.0,-335.0,6465.0,10.0,4256.0,1288.0,11898.0,-173.0,201.0,2097.0,1208.0,-177.7,2614.0,7385.0,2097.0,2946.0,2829.0,300.0,333.0
7651.0,330.0,8123.0,21633.0,5027.0,422.0,1624.0,562.0,12215.0,9269.0,14204.0,652.0,1469.0,775.0,17902.0,6209.0,1035.0,15166.0,564.0,1334.0,14351.0,5814.0,10942.0,852.0,976.0,286.0,6101.0,11496.0,619.8,22176.0,5121.0,6310.0,13176.0,18554.0,1711.0,758.0
8877.0,6914.0,11266.0,14244.0,3517.0,4378.0,3155.0,10242.0,7840.0,462.0,12039.0,1903.0,6577.0,4349.0,17004.0,1392.0,3354.0,10470.0,4456.0,2782.0,21890.0,2789.0,4177.0,5086.0,8697.0,8457.0,8416.0,8028.0,1993.2,13992.0,9133.0,2563.0,5860.0,2616.0,4782.0,4226.0
11191.0,1225.0,31297.0,28265.0,2734.0,82.0,1454.0,16033.0,36796.0,480.0,2480.0,130.0,3942.0,12404.0,34471.0,40023.0,850.0,32781.0,-13.0,3680.0,28716.0,1876.0,31592.0,1760.0,1908.0,960.0,30492.0,36905.0,-111.0,32472.0,19436.0,11761.0,22495.0,37299.0,1603.0,113.0
9774.0,21208.0,18459.0,23530.0,3465.0,17383.0,9828.0,11254.0,9321.0,12190.0,5790.0,15998.0,4528.0,8746.0,22142.0,7761.0,1370.0,16480.0,10705.0,2270.0,15648.0,7924.0,11856.0,6516.0,11799.0,16426.0,10152.0,9442.0,17050.5,29901.0,9704.0,4010.0,9139.0,5109.0,17192.0,17817.0
9500.0,4859.0,7686.0,6057.0,8244.0,1108.0,2740.0,1596.0,1079.0,5034.0,600.0,5529.0,13602.0,10937.0,9189.0,1035.0,11887.0,8548.0,6849.0,15197.0,4606.0,12252.0,4089.0,7379.0,3264.0,4659.0,7947.0,9127.0,3853.3,6087.0,5797.0,11742.0,12892.0,14830.0,5670.0,3144.0
178.0,6855.0,12095.0,24358.0,45.0,11528.0,927.0,25046.0,10702.0,63.0,9897.0,15461.0,103.0,335.0,22981.0,14484.0,40.0,6621.0,20435.0,158.0,21663.0,9510.0,6364.0,203.0,5995.0,8868.0,23727.0,23674.0,14632.3,8124.0,149.0,406.0,105.0,275.0,16900.0,19573.0
19186.0,5889.0,23473.0,16775.0,21492.0,2010.0,4259.0,6031.0,15567.0,22443.0,2742.0,5300.0,18529.0,12005.0,23229.0,9628.0,9595.0,23098.0,4880.0,19789.0,16386.0,15355.0,18240.0,21641.0,3524.0,1860.0,19099.0,21756.0,4652.7,24385.0,21793.0,14679.0,19452.0,23908.0,4325.0,1723.0
2058.0,3790.0,1463.0,1578.0,1152.0,14722.0,3457.0,1042.0,1202.0,10998.0,1336.0,19304.0,2344.0,2120.0,1916.0,382.0,1808.0,2926.0,3620.0,1796.0,1109.0,8239.0,2124.0,2253.0,5429.0,13760.0,1115.0,1493.0,3994.1,1485.0,1674.0,2517.0,2682.0,2557.0,5863.0,6899.0
4805.0,6498.0,2754.0,7488.0,1076.0,10783.0,4623.0,2870.0,5162.0,10338.0,9397.0,2048.0,1140.0,1608.0,4869.0,3159.0,2000.0,6943.0,9130.0,1696.0,9456.0,3650.0,2132.0,3442.0,10664.0,8732.0,4627.0,5078.0,2899.8,7536.0,1777.0,2510.0,3392.0,1523.0,4950.0,5008.0
2515.0,1000.0,2561.0,12950.0,3156.0,1050.0,973.0,1373.0,1948.0,2279.0,2815.0,308.0,3634.0,3349.0,540.0,446.0,2835.0,1556.0,2925.0,3228.0,2588.0,3022.0,727.0,2949.0,1395.0,105.0,1023.0,1578.0,775.4,5284.0,3687.0,3343.0,1846.0,2887.0,1408.0,2704.0
929.0,8112.0,1601.0,3843.0,1078.0,8352.0,7031.0,1130.0,1118.0,10522.0,7433.0,7234.0,425.0,588.0,1900.0,282.0,877.0,1562.0,12745.0,538.0,469.0,1687.0,431.0,1659.0,7702.0,7873.0,1179.0,1316.0,4950.5,1275.0,509.0,689.0,877.0,597.0,11271.0,11837.0
2514.0,664.0,18826.0,6894.0,4363.0,253.0,20316.0,15321.0,792.0,2944.0,450.0,11137.0,9237.0,4033.0,552.0,1251.0,5805.0,9557.0,1186.0,2486.0,313.0,2424.0,23033.0,6736.0,2358.0,274.0,18676.0,19638.0,13333.6,4774.0,9324.0,3462.0,5323.0,3389.0,652.0,12145.0
