AML,ALL,MLL,MLL,AML,ALL,ALL,MLL,MLL,ALL,MLL,ALL,AML,AML,MLL,MLL,AML,MLL,ALL,AML,MLL,AML,MLL,AML,ALL,ALL,MLL,MLL,ALL,MLL,AML,AML,AML,AML,ALL,ALL,ALL,AML,MLL,AML,ALL,AML,AML,ALL,AML,ALL,ALL,AML,MLL,ALL,ALL,AML,AML,ALL,ALL,ALL,MLL,MLL,ALL,MLL,AML,AML,AML,AML,MLL,ALL,AML,MLL,ALL,AML,AML,AML
13201.0,8931.0,9226.0,7356.0,25025.0,17219.0,1453.0,14220.0,18102.0,12939.0,22738.0,12334.0,26238.0,25971.0,15616.0,28593.0,18765.0,15859.0,12325.0,29595.0,9186.0,28131.0,14052.0,15404.0,12994.0,12989.0,6182.0,6579.0,4796.7,11206.0,19247.0,14277.0,18552.0,20865.0,13701.0,3998.0,15493.0,11788.0,28970.0,20052.0,17572.0,25897.0,15538.0,11677.0,18003.0,13966.0,17368.0,19983.0,13159.0,21914.0,16362.0,19576.0,12817.0,11605.0,14914.0,16464.0,4552.0,6006.0,10895.0,8130.0,27616.0,37354.0,18422.0,20771.0,10620.0,13842.0,23002.0,13216.0,10327.0,30348.0,21192.0,13051.0
12226.0,16341.0,10259.0,10285.0,1784.0,12130.0,11653.0,6290.0,5468.0,16991.0,2695.0,7633.0,991.0,6033.0,16671.0,2713.0,11281.0,16080.0,20019.0,6796.0,18255.0,10986.0,5932.0,8844.0,10039.0,7878.0,11360.0,16000.0,6396.1,20119.0,3239.0,3638.0,4257.0,11827.0,10410.0,11540.0,8361.0,8591.0,1674.0,11431.0,15016.0,4708.0,6538.0,7712.0,10197.0,6672.0,15435.0,8550.0,7336.0,10208.0,3964.0,6396.0,5023.0,5916.0,3841.0,2923.0,24994.0,13732.0,5826.0,17018.0,3930.0,3042.0,10658.0,5557.0,17260.0,11843.0,7760.0,19780.0,5961.0,12644.0,5407.0,6819.0
-47.0,11523.0,-68.0,-24.0,-57.0,13499.0,1584.0,1346.0,507.0,6844.0,156.0,10364.0,911.0,-86.0,1606.0,-21.0,-157.0,2662.0,11741.0,-125.0,6869.0,181.0,-157.0,-18.0,13125.0,6284.0,4670.0,1943.0,11917.7,-86.0,-152.0,138.0,-52.0,-64.0,7048.0,9378.0,9061.0,-58.0,794.0,-91.0,9129.0,-80.0,210.0,13229.0,-134.0,2374.0,8070.0,-176.0,7103.0,10111.0,11770.0,-89.0,297.0,8168.0,8224.0,12024.0,312.0,11435.0,9363.0,-114.0,-43.0,153.0,37.0,-41.0,325.0,8282.0,-115.0,108.0,14350.0,-41.0,-210.0,-109.0
23240.0,20190.0,9758.0,19243.0,4744.0,21021.0,20342.0,9505.0,4430.0,22727.0,9658.0,12843.0,6601.0,23945.0,22108.0,1568.0,405.0,15172.0,22123.0,10834.0,12565.0,26594.0,9664.0,12897.0,12615.0,15514.0,7778.0,9092.0,7685.7,25365.0,18589.0,13352.0,22352.0,20744.0,17134.0,21475.0,14688.0,13814.0,1791.0,16227.0,23691.0,16297.0,16711.0,19333.0,12305.0,367.0,28514.0,26549.0,4620.0,14757.0,10459.0,10756.0,12885.0,14470.0,12199.0,3739.0,4733.0,13385.0,20236.0,16103.0,24805.0,33759.0,10710.0,17841.0,20294.0,22732.0,26950.0,12679.0,4032.0,24889.0,18077.0,21976.0
8507.0,5520.0,7674.0,7326.0,9216.0,5044.0,6468.0,9137.0,5155.0,6553.0,6632.0,6104.0,10949.0,10602.0,7742.0,3272.0,10542.0,8122.0,7787.0,12705.0,7053.0,10279.0,7239.0,9421.0,4598.0,6462.0,7365.0,9784.0,4691.7,8604.0,9734.0,12175.0,9492.0,11355.0,6886.0,7416.0,5612.0,9598.0,3775.0,9082.0,5739.0,4823.0,4838.0,3906.0,9417.0,5422.0,6622.0,12736.0,5273.0,5234.0,5998.0,7437.0,10323.0,9275.0,8063.0,3252.0,3725.0,5023.0,7803.0,8957.0,6115.0,6390.0,10236.0,9062.0,7758.0,6818.0,8195.0,6862.0,6864.0,9223.0,11380.0,9248.0
190.0,19913.0,345.0,335.0,208.0,5079.0,2640.0,267.0,618.0,1516.0,1334.0,3712.0,524.0,349.0,5278.0,198.0,213.0,904.0,17356.0,368.0,642.0,643.0,533.0,415.0,25188.0,19376.0,1352.0,1773.0,6104.3,85.0,23.0,593.0,240.0,432.0,7677.0,5771.0,12782.0,297.0,870.0,114.0,1584.0,230.0,133.0,4637.0,269.0,9192.0,915.0,281.0,2330.0,2128.0,15980.0,349.0,481.0,3934.0,15116.0,12846.0,615.0,4653.0,9773.0,8290.0,223.0,115.0,131.0,409.0,1050.0,11600.0,152.0,10036.0,14.0,301.0,401.0,186.0
574.0,20335.0,4758.0,6890.0,229.0,22632.0,27002.0,19907.0,15347.0,20022.0,12604.0,28168.0,492.0,495.0,15562.0,15737.0,804.0,19978.0,21246.0,219.0,1458.0,5653.0,24837.0,656.0,20775.0,22281.0,18374.0,1228.0,15880.4,750.0,501.0,492.0,253.0,443.0,21399.0,21286.0,22521.0,453.0,11140.0,633.0,20451.0,274.0,52.0,24855.0,692.0,2423.0,25015.0,794.0,17394.0,29683.0,22447.0,575.0,898.0,24811.0,24863.0,15161.0,138.0,19090.0,22301.0,15283.0,536.0,330.0,530.0,478.0,18634.0,21932.0,21.0,655.0,17130.0,-19.0,202.0,852.0
1226.0,433.0,857.0,777.0,3644.0,735.0,570.0,2567.0,309.0,653.0,480.0,471.0,4627.0,14539.0,2989.0,683.0,3613.0,480.0,652.0,236.0,11404.0,964.0,1779.0,17918.0,225.0,428.0,1660.0,1260.0,296.3,620.0,25305.0,800.0,685.0,694.0,641.0,611.0,513.0,611.0,360.0,10349.0,249.0,2558.0,8700.0,336.0,14798.0,401.0,521.0,984.0,1051.0,630.0,484.0,10280.0,2074.0,1073.0,204.0,430.0,995.0,374.0,2101.0,322.0,23409.0,-74.0,503.0,13193.0,654.0,985.0,90.0,1244.0,3701.0,382.0,3833.0,4780.0
265.0,683.0,560.0,5757.0,1253.0,16.0,169.0,14125.0,13169.0,32.0,7983.0,514.0,3740.0,1624.0,1594.0,2384.0,307.0,3891.0,120.0,1155.0,20338.0,5967.0,2527.0,1385.0,2636.0,2324.0,18725.0,16287.0,2644.2,63.0,1203.0,378.0,126.0,86.0,2677.0,2305.0,769.0,55.0,3219.0,402.0,103.0,1822.0,928.0,1376.0,1229.0,117.0,-220.0,318.0,5723.0,547.0,3684.0,518.0,2732.0,91.0,589.0,126.0,1703.0,6206.0,5183.0,23215.0,1453.0,104.0,-3.0,690.0,12191.0,737.0,50.0,9385.0,12.0,10.0,776.0,3923.0
644.0,13951.0,3574.0,264.0,9301.0,3517.0,5266.0,-179.0,573.0,18440.0,246.0,14368.0,6168.0,1185.0,5932.0,5140.0,-296.0,1230.0,362.0,219.0,-80.0,-204.0,1221.0,5819.0,1563.0,1370.0,236.0,298.0,12617.9,497.0,5494.0,8651.0,7833.0,424.0,5506.0,1045.0,13345.0,285.0,202.0,9.0,4578.0,900.0,519.0,7806.0,7925.0,2836.0,3011.0,2402.0,535.0,834.0,1747.0,3769.0,4208.0,12485.0,8639.0,16509.0,-219.0,1345.0,5796.0,2127.0,17730.0,281.0,1166.0,11542.0,156.0,4160.0,-333.0,6.0,18232.0,-197.0,1292.0,8531.0
